ITEM DESCRIPTION,CATEGORY,SUB-CATEGORY,UNIT,JANUARY_2021,FEBRUARY_2021,MARCH_2021,APRIL_2021,MAY_2021,JUNE_2021,JULY_2021,AUGUST_2021,SEPTEMBER_2021,OCTOBER_2021,NOVEMBER_2021,DECEMBER_2021,Rate per Month_2021,TOTAL_2021,JANUARY_2022,FEBRUARY_2022,MARCH_2022,APRIL_2022,MAY_2022,JUNE_2022,JULY_2022,AUGUST_2022,SEPTEMBER_2022,OCTOBER_2022,NOVEMBER_2022,DECEMBER_2022,Rate per Month_2022,TOTAL_2022,JANUARY_2023,FEBRUARY_2023,MARCH_2023,APRIL_2023,MAY_2023,JUNE_2023,JULY_2023,AUGUST_2023,SEPTEMBER_2023,OCTOBER_2023,NOVEMBER_2023,DECEMBER_2023,Rate per Month_2023,TOTAL_2023
Sticker Paper - White 79,General Items,Stationary,Sheet,49,0,1,2,0,3,0,0,0,0,4,4,5.25,63,54,3,0,3,0,1,0,3,0,0,0,0,5.333333333,64,50,0,0,6,0,0,0,0,0,0,0,0,4.666666667,56
Streptokinase Injection 1500000iu Inj 79,Medical Items,Pharmaceuticals,Ampule,3,1,0,0,0,4,3,1,0,0,0,1,1.083333333,13,1,3,0,0,0,0,1,2,0,0,0,0,0.583333333,7,0,0,1,0,0,0,0,0,0,0,0,0,0.083333333,1
Suction Catheter ( Plain ) No:10 79,Medical Items,Medical Consumables,Numbers,1,10,32,25,0,3,40,0,1,4,0,0,9.666666667,116,0,7,33,28,0,0,36,0,1,3,0,1,9.083333333,109,0,10,31,30,0,0,40,0,0,0,0,0,9.25,111
Suction Catheter ( Plain ) No:12 79,Medical Items,Medical Consumables,Numbers,0,0,28,10,18,5,17,0,0,0,0,0,6.5,78,4,3,23,14,24,13,20,4,1,3,2,4,9.583333333,115,0,0,25,15,20,10,20,0,0,0,0,0,7.5,90
Suction Catheter ( Plain ) No:14 79,Medical Items,Medical Consumables,Numbers,14,19,29,16,1,0,22,2,0,3,0,0,8.833333333,106,9,18,21,19,0,0,24,0,2,0,0,2,7.916666667,95,10,20,25,15,0,0,20,0,0,0,0,0,7.5,90
Suction Catheter ( Plain ) No:16 79,Medical Items,Medical Consumables,Numbers,0,0,14,3,0,2,2,0,0,0,0,0,1.75,21,0,2,14,0,0,0,2,0,4,0,0,0,1.833333333,22,0,0,10,2,0,0,5,0,0,0,0,0,1.416666667,17
Suction Catheter ( Plain ) No:18 79,Medical Items,Medical Consumables,Numbers,0,3,0,0,0,2,4,3,1,0,0,0,1.083333333,13,0,0,2,2,1,1,0,4,2,0,4,3,1.583333333,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suction Catheter ( Plain ) No:6 79,Medical Items,Medical Consumables,Numbers,4,14,0,0,3,4,4,3,0,0,0,1,2.75,33,3,7,0,2,0,3,4,0,1,0,0,4,2,24,0,10,0,0,0,0,0,0,0,0,0,0,0.833333333,10
Suction Catheter ( Plain ) No:8 79,Medical Items,Medical Consumables,Numbers,0,27,44,0,3,0,20,0,1,0,0,2,8.083333333,97,0,29,42,3,0,0,18,0,0,0,2,0,7.833333333,94,0,30,40,0,0,0,20,0,0,0,0,0,7.5,90
Suction Catheter ( Thumb Control ) No:10 79,Medical Items,Medical Consumables,Numbers,64,49,24,5,8,5,24,0,0,1,0,2,15.16666667,182,59,46,15,1,9,10,22,0,1,0,0,2,13.75,165,60,50,20,4,5,10,20,0,0,0,0,0,14.08333333,169
Suction Catheter ( Thumb Control ) No:12 79,Medical Items,Medical Consumables,Numbers,55,21,0,6,16,3,6,0,4,3,0,0,9.5,114,59,20,0,7,23,0,14,1,0,0,0,4,10.66666667,128,60,20,0,4,20,0,10,0,0,0,0,0,9.5,114
Suction Catheter ( Thumb Control ) No:14 79,Medical Items,Medical Consumables,Numbers,31,0,0,3,40,0,17,2,2,0,2,0,8.083333333,97,25,0,0,4,41,2,20,4,0,2,0,3,8.416666667,101,30,0,0,2,40,0,20,0,0,0,0,0,7.666666667,92
Suction Catheter ( Thumb Control ) No:16 79,Medical Items,Medical Consumables,Numbers,3,0,3,15,21,0,42,0,1,0,4,1,7.5,90,0,0,4,20,21,0,39,0,4,0,0,0,7.333333333,88,0,0,0,20,20,0,40,0,0,0,0,0,6.666666667,80
Suction Catheter ( Thumb Control ) No:18 79,Medical Items,Medical Consumables,Numbers,11,0,0,0,15,4,12,4,0,4,3,1,4.5,54,12,0,0,0,20,0,9,0,0,0,0,0,3.416666667,41,10,0,0,0,20,0,10,0,0,0,0,0,3.333333333,40
Suction Catheter ( Thumb Control ) No:5 79,Medical Items,Medical Consumables,Numbers,0,0,0,3,3,2,2,0,0,0,0,4,1.166666667,14,0,3,4,4,2,4,0,0,0,2,0,4,1.916666667,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suction Catheter ( Thumb Control ) No:6 79,Medical Items,Medical Consumables,Numbers,1,0,0,0,0,0,1,0,0,0,0,3,0.416666667,5,0,4,0,0,0,3,0,0,0,0,0,1,0.666666667,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suction Catheter ( Thumb Control ) No:8 79,Medical Items,Medical Consumables,Numbers,6,9,0,26,28,0,0,4,0,0,0,0,6.083333333,73,6,8,4,24,21,0,0,1,1,1,4,2,6,72,5,10,0,25,25,0,0,0,0,0,0,0,5.416666667,65
Sulfolyser - 5L (SLS-220A) 79,Medical Items,Laboratory Consumables,Packet,3,3,0,0,0,0,0,0,0,0,1,0,0.583333333,7,4,1,5,0,1,1,2,4,2,0,4,0,2,24,1,0,1,2,1,0,3,0,0,0,0,0,0.666666667,8
Supirocin 2% Ointment 79,Medical Items,Pharmaceuticals,Tube,56,17,69,109,71,117,91,0,0,0,0,4,44.5,534,55,22,66,109,69,121,93,0,3,0,3,0,45.08333333,541,59,18,65,105,67,117,90,0,0,0,0,0,43.41666667,521
Supridol (Tramadol) Injection 50 mg / ml - 1 ml 79,Narcotic,Controlled Drug,Ampule,77,15,50,86,61,132,73,3,0,0,0,2,41.58333333,499,84,16,58,83,62,131,71,2,0,0,0,4,42.58333333,511,80,20,55,85,61,135,70,0,0,0,0,0,42.16666667,506
Surgeons Cap 79,Medical Items,Medical Consumables,Numbers,1304,204,203,697,1000,499,498,2,0,4,0,0,367.5833333,4411,1296,200,198,700,998,495,496,0,3,2,0,3,365.9166667,4391,1300,200,200,700,1002,500,500,0,0,0,0,0,366.8333333,4402
Surgical Blade - No. 10 (100/Pkt) 79,Medical Items,Medical Consumables,Packet,3,0,0,0,1,3,4,1,4,0,4,0,1.666666667,20,0,4,0,0,0,2,1,3,0,0,0,0,0.833333333,10,2,0,1,0,1,1,0,0,0,0,0,0,0.416666667,5
Surgical Blade - No. 11 (100/Pkt) 79,Medical Items,Medical Consumables,Packet,4,1,0,26,8,5,3,2,0,0,0,0,4.083333333,49,8,0,0,33,3,1,0,0,2,0,0,0,3.916666667,47,4,0,1,30,6,1,5,0,0,0,0,0,3.916666667,47
Surgical Blade - No. 12 (100/Pkt) 79,Medical Items,Medical Consumables,Packet,2,5,0,0,4,2,1,3,0,0,0,0,1.416666667,17,4,1,0,0,0,0,5,0,0,3,0,0,1.083333333,13,0,1,1,0,0,0,2,0,0,0,0,0,0.333333333,4
Surgical Blade - No. 15 (100/Pkt) 79,Medical Items,Medical Consumables,Packet,4,2,1,6,0,3,5,0,0,3,0,0,2,24,0,2,0,4,2,5,3,0,0,0,0,0,1.333333333,16,2,0,3,5,2,1,2,0,0,0,0,0,1.25,15
Surgical Blade - No. 20 (100/Pkt) 79,Medical Items,Medical Consumables,Packet,0,0,5,1,1,0,4,0,0,0,0,2,1.083333333,13,3,0,2,0,3,0,4,0,1,3,0,0,1.333333333,16,0,0,2,0,0,0,0,0,0,0,0,0,0.166666667,2
Surgical Blade - No. 22 (100/Pkt) 79,Medical Items,Medical Consumables,Packet,0,4,3,0,0,4,3,0,0,1,0,2,1.416666667,17,2,0,0,0,5,1,0,0,3,0,2,2,1.25,15,1,0,0,0,2,1,0,0,0,0,0,0,0.333333333,4
Surgical Blade - No. 23 (100/Pkt) 79,Medical Items,Medical Consumables,Packet,3,0,2,3,0,0,1,1,0,0,0,0,0.833333333,10,0,2,5,0,2,0,0,0,4,0,0,3,1.333333333,16,0,0,2,0,0,0,0,0,0,0,0,0,0.166666667,2
Surgical Blade - No. 24 (100/Pkt) 79,Medical Items,Medical Consumables,Packet,0,4,0,0,4,0,0,0,4,0,0,0,1,12,1,0,0,3,1,0,0,1,0,0,0,2,0.666666667,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Surgical Consent (H-66) - A4 79,General Items,Printed Items,Pad,0,3,4,0,2,4,0,0,4,0,0,4,1.75,21,4,0,0,2,0,3,0,0,0,1,1,0,0.916666667,11,0,0,0,0,1,0,2,0,0,0,0,0,0.25,3
Surgical Spirit - 450 ml 79,Medical Items,Medical Consumables,Bottle,68,21,29,53,41,38,0,1,4,0,3,2,21.66666667,260,63,26,29,54,40,33,7,0,0,0,0,0,21,252,65,24,26,53,43,37,3,0,0,0,0,0,20.91666667,251
Surgical Suture - Chromic 1.0 Nw 4242 79,Medical Items,Medical Consumables,Box,0,0,0,0,3,0,0,0,1,0,3,3,0.833333333,10,0,1,0,0,0,3,0,1,3,0,0,4,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Surgical Suture - Chromic 4.0 Nw 4048 / Vicryl Nw 2718 79,Medical Items,Medical Consumables,Box,6,4,0,12,0,3,2,0,0,0,0,4,2.583333333,31,7,0,0,13,6,0,1,1,0,0,4,0,2.666666667,32,4,2,0,10,3,0,0,0,0,0,0,0,1.583333333,19
Surgical Suture - Ethicon 10.0 - Nw 3719 79,Medical Items,Medical Consumables,Box,0,4,0,0,0,0,0,0,0,0,0,0,0.333333333,4,0,0,0,0,0,2,0,0,0,0,4,0,0.5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Surgical Suture - Ethicon 2.0 Nw 3336 79,Medical Items,Medical Consumables,Box,3,2,3,0,4,0,0,0,0,0,1,4,1.416666667,17,2,2,2,4,8,1,3,0,0,2,2,0,2.166666667,26,2,4,0,0,4,0,0,0,0,0,0,0,0.833333333,10
Surgical Suture - Ethicon 3.0 Nw 3328 79,Medical Items,Medical Consumables,Box,1,0,2,0,6,9,0,1,1,3,1,0,2,24,0,1,4,0,0,10,3,0,0,0,4,4,2.166666667,26,0,3,4,0,2,8,0,0,0,0,0,0,1.416666667,17
Surgical Suture - Ethicon 8.0 Nw 3322 79,Medical Items,Medical Consumables,Box,1,0,0,1,0,1,0,2,0,1,0,0,0.5,6,1,0,0,4,4,0,0,4,0,0,0,2,1.25,15,0,0,0,0,0,0,1,0,0,0,0,0,0.083333333,1
Surgical Suture - Ethicon 8.0 Nw 3708 79,Medical Items,Medical Consumables,Box,2,0,0,3,0,0,3,0,2,0,1,0,0.916666667,11,0,2,0,3,0,0,4,0,0,0,2,0,0.916666667,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Surgical Suture - Ethicon 8.0 Nw 5022 79,Medical Items,Medical Consumables,Box,2,1,0,0,0,1,0,3,2,3,0,0,1,12,4,0,0,0,0,0,3,4,0,0,4,0,1.25,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Surgical Suture - Mersilk 1.0 Nw 5334 (5332) 79,Medical Items,Medical Consumables,Box,1,1,0,0,2,5,0,0,4,2,2,0,1.416666667,17,4,1,3,2,1,1,2,0,1,3,0,0,1.5,18,0,0,0,2,0,2,0,0,0,0,0,0,0.333333333,4
Surgical Suture - Mersilk 2.0 Nw 5333 (5331) 79,Medical Items,Medical Consumables,Box,0,0,0,0,3,0,0,3,0,2,0,0,0.666666667,8,0,0,5,0,0,0,0,0,1,0,3,0,0.75,9,0,0,2,0,0,0,0,0,0,0,0,0,0.166666667,2
Surgical Suture - Mersilk 2.0 Nw 5670 79,Medical Items,Medical Consumables,Box,0,2,0,2,0,0,3,3,0,2,0,0,1,12,2,1,0,0,0,2,0,0,2,0,0,3,0.833333333,10,0,0,0,1,0,0,0,0,0,0,0,0,0.083333333,1
Surgical Suture - Mersilk 3.0 Nw 5002 (5003) 79,Medical Items,Medical Consumables,Box,0,1,0,0,0,0,4,1,3,0,3,0,1,12,0,0,1,0,4,4,0,1,4,3,3,0,1.666666667,20,0,1,0,0,0,0,0,0,0,0,0,0,0.083333333,1
Surgical Suture - Mersilk 3.0 Nw 5070 (5085) 79,Medical Items,Medical Consumables,Box,7,0,0,1,0,3,1,0,0,0,4,0,1.333333333,16,10,7,3,4,0,0,3,4,0,0,0,0,2.583333333,31,6,5,0,5,0,0,0,0,0,0,0,0,1.333333333,16
Surgical Suture - Mersilk 4.0 Nw 5001 (5000) 79,Medical Items,Medical Consumables,Box,4,0,2,0,5,0,0,0,0,0,4,3,1.5,18,2,1,4,4,4,4,0,2,0,2,1,1,2.083333333,25,0,2,0,0,1,0,0,0,0,0,0,0,0.25,3
Surgical Suture - Mersilk 5.0 Nw 5080 (5079) 79,Medical Items,Medical Consumables,Box,0,3,0,1,0,0,3,3,4,0,0,0,1.166666667,14,0,0,1,2,0,0,0,0,0,1,1,0,0.416666667,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Surgical Suture - Mersilk 6.0 Nw 5012 79,Medical Items,Medical Consumables,Box,4,0,4,0,0,0,0,0,0,0,1,0,0.75,9,2,4,0,0,3,4,4,0,0,2,4,0,1.916666667,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Surgical Suture - Mersilk 6.0 Nw 5043 79,Medical Items,Medical Consumables,Box,0,0,4,0,0,0,0,0,0,0,4,2,0.833333333,10,0,2,0,0,0,2,0,0,0,3,3,0,0.833333333,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Surgical Suture - Monocryl - 3.0 Nw 1326 79,Medical Items,Medical Consumables,Box,3,0,5,0,0,3,3,0,1,1,0,0,1.333333333,16,6,0,0,0,0,8,1,0,2,3,0,0,1.666666667,20,5,2,2,4,0,4,0,0,0,0,0,0,1.416666667,17
Surgical Suture - Prolene 1 Nw 840 79,Medical Items,Medical Consumables,Box,4,2,1,0,6,2,0,1,0,2,0,0,1.5,18,0,1,0,3,1,3,0,4,0,0,0,0,1,12,0,0,0,0,2,0,0,0,0,0,0,0,0.166666667,2
Surgical Suture - Prolene 1.0 Nw 843 79,Medical Items,Medical Consumables,Box,0,4,3,0,1,2,0,3,2,4,0,0,1.583333333,19,0,3,0,4,0,0,1,0,1,0,0,0,0.75,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Surgical Suture - Prolene 2.0 Nw 807 79,Medical Items,Medical Consumables,Box,2,1,0,10,3,0,0,0,0,3,0,2,1.75,21,0,0,2,5,3,0,2,0,0,0,3,0,1.25,15,0,0,0,10,0,0,0,0,0,0,0,0,0.833333333,10
Surgical Suture - Prolene 2.0 Nw 841 (844) 79,Medical Items,Medical Consumables,Box,0,4,0,6,0,2,0,0,0,4,0,0,1.333333333,16,0,0,6,10,0,0,2,0,3,2,0,0,1.916666667,23,1,2,2,9,1,0,0,0,0,0,0,0,1.25,15
Surgical Suture - Prolene 3.0 Nw 018 79,Medical Items,Medical Consumables,Box,0,8,0,1,0,0,9,3,0,0,0,3,2,24,4,3,0,4,0,0,4,0,0,0,0,0,1.25,15,0,4,0,4,0,0,7,0,0,0,0,0,1.25,15
Surgical Suture - Prolene 3.0 Nw 820 (821) 79,Medical Items,Medical Consumables,Box,0,2,0,0,2,11,0,3,0,0,3,4,2.083333333,25,4,2,4,0,7,9,0,0,0,0,2,1,2.416666667,29,2,4,1,0,7,7,0,0,0,0,0,0,1.75,21
Surgical Suture - Prolene 3.0 Nw 887 79,Medical Items,Medical Consumables,Box,5,0,0,9,0,1,0,2,4,0,3,1,2.083333333,25,9,1,0,8,4,3,0,0,0,2,2,2,2.583333333,31,5,0,0,5,0,0,0,0,0,0,0,0,0.833333333,10
Surgical Suture - Prolene 4.0 Nw 835 79,Medical Items,Medical Consumables,Box,10,0,4,1,0,0,0,0,4,0,4,4,2.25,27,11,0,4,9,0,0,1,3,0,0,4,1,2.75,33,7,0,0,6,0,0,0,0,0,0,0,0,1.083333333,13
Surgical Suture - Prolene 4.0 Nw 870 79,Medical Items,Medical Consumables,Box,4,5,0,0,3,5,0,0,0,0,0,1,1.5,18,3,8,0,0,7,4,3,3,0,0,0,2,2.5,30,3,9,0,1,5,4,0,0,0,0,0,0,1.833333333,22
Surgical Suture - Prolene 5.0 Nw 8721 79,Medical Items,Medical Consumables,Box,0,0,4,0,0,3,3,0,3,0,0,2,1.25,15,2,2,3,0,0,1,11,0,3,4,4,0,2.5,30,1,0,0,0,0,1,8,0,0,0,0,0,0.833333333,10
Surgical Suture - Prolene 5.0 Nw 880 (889) 79,Medical Items,Medical Consumables,Box,0,4,4,5,1,0,6,0,3,1,0,2,2.166666667,26,3,0,0,0,3,0,0,3,3,0,0,0,1,12,0,1,0,3,2,0,3,0,0,0,0,0,0.75,9
Surgical Suture - Prolene 5.0 Nw 881 79,Medical Items,Medical Consumables,Box,4,0,0,0,0,8,0,0,4,0,0,3,1.583333333,19,0,0,0,0,3,3,4,0,0,0,0,0,0.833333333,10,0,0,2,0,0,6,0,0,0,0,0,0,0.666666667,8
Surgical Suture - Vicryl - 2.0 Nw 2452 79,Medical Items,Medical Consumables,Box,0,5,0,0,1,2,6,4,0,4,2,2,2.166666667,26,2,0,2,3,0,0,7,0,0,0,3,2,1.583333333,19,0,2,1,0,0,0,4,0,0,0,0,0,0.583333333,7
Surgical Suture - Vicryl 0 Nw 2338 79,Medical Items,Medical Consumables,Box,1,0,0,4,1,0,2,0,0,0,0,0,0.666666667,8,0,0,3,4,4,0,0,0,0,3,0,3,1.416666667,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Surgical Suture - Vicryl 0 Nw 2346 79,Medical Items,Medical Consumables,Box,2,0,2,1,0,0,0,0,0,0,0,1,0.5,6,0,2,2,2,0,4,0,1,0,0,0,0,0.916666667,11,2,0,4,2,0,0,0,0,0,0,0,0,0.666666667,8
Surgical Suture - Vicryl 1.0 Nw 2347 79,Medical Items,Medical Consumables,Box,0,6,0,3,7,2,4,0,0,0,3,0,2.083333333,25,8,2,0,2,3,3,4,0,4,0,4,0,2.5,30,4,3,0,4,3,5,2,0,0,0,0,0,1.75,21
Surgical Suture - Vicryl 2-0 Nw 2762 79,Medical Items,Medical Consumables,Box,1,0,0,1,2,0,4,4,0,4,4,1,1.75,21,3,0,0,1,3,0,0,0,2,0,3,2,1.166666667,14,6,0,1,3,0,0,0,0,0,0,0,0,0.833333333,10
Surgical Suture - Vicryl 2.0 Nw 2317 79,Medical Items,Medical Consumables,Box,2,0,3,5,5,7,0,2,2,2,2,3,2.75,33,8,4,3,0,3,10,0,4,4,0,1,2,3.25,39,7,2,4,4,5,6,0,0,0,0,0,0,2.333333333,28
Surgical Suture - Vicryl 2.0 W 9900 79,Medical Items,Medical Consumables,Box,0,4,0,0,0,2,0,0,4,0,2,0,1,12,0,0,0,0,0,1,4,0,0,4,1,0,0.833333333,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Surgical Suture - Vicryl 3.0 Nw 2401 79,Medical Items,Medical Consumables,Box,3,0,4,3,3,0,2,0,0,0,0,0,1.25,15,2,1,0,0,4,1,6,0,0,2,0,2,1.5,18,0,1,0,0,1,0,2,0,0,0,0,0,0.333333333,4
Surgical Suture - Vicryl 3.0 Nw 2437 79,Medical Items,Medical Consumables,Box,6,0,0,3,0,4,6,3,0,0,0,3,2.083333333,25,9,0,0,9,4,0,1,3,2,0,0,0,2.333333333,28,9,1,0,5,2,0,4,0,0,0,0,0,1.75,21
Surgical Suture - Vicryl 4.0 Nw 2304 79,Medical Items,Medical Consumables,Box,1,1,0,3,7,8,2,1,3,0,1,3,2.5,30,0,4,2,4,2,8,0,1,0,0,0,3,2,24,2,0,0,2,3,4,0,0,0,0,0,0,0.916666667,11
Surgical Suture - Vicryl 5.0 Nw 2303 79,Medical Items,Medical Consumables,Box,1,3,4,0,0,0,3,4,3,0,0,0,1.5,18,0,0,2,0,1,0,0,0,0,4,1,2,0.833333333,10,0,1,0,0,1,0,0,0,0,0,0,0,0.166666667,2
Surgical Suture - Vicryl 6.0 Nw 2670 79,Medical Items,Medical Consumables,Box,4,2,4,2,2,0,0,1,1,0,3,0,1.583333333,19,0,0,0,4,0,2,0,3,0,0,0,0,0.75,9,0,0,0,0,0,2,0,0,0,0,0,0,0.166666667,2
Suspension Solution - 3X500 79,Medical Items,Laboratory Consumables,Box,2,2,0,2,3,0,2,0,2,3,1,0,1.416666667,17,1,0,0,0,5,2,0,0,0,0,0,0,0.666666667,8,0,0,0,0,5,0,0,0,0,0,0,0,0.416666667,5
"Syringe - 1 ml, With Lock, Luer Lock, With Needle (100/Box) 79",Medical Items,Medical Consumables,Box,6,0,10,2,13,0,8,0,0,0,3,0,3.5,42,11,5,2,8,12,2,6,1,1,2,0,0,4.166666667,50,11,2,7,5,11,2,6,0,0,0,0,0,3.666666667,44
"Syringe - 10 ml, With Lock, Luer Lock, With Needle (100/Box) 79",Medical Items,Medical Consumables,Box,36,53,36,60,62,51,51,4,0,4,0,0,29.75,357,42,53,34,62,56,56,50,2,0,1,0,0,29.66666667,356,39,57,33,59,61,56,48,0,0,0,0,0,29.41666667,353
"Syringe - 2 ml, With Lock, Luer Lock, With Needle (100/Box) 79",Medical Items,Medical Consumables,Box,1,3,3,1,4,4,0,1,0,4,0,2,1.916666667,23,2,0,0,0,1,0,0,0,0,0,0,0,0.25,3,0,0,1,0,0,0,0,0,0,0,0,0,0.083333333,1
"Syringe - 20 ml - With Lock, Luer Lock, With Needle (100/Box) 79",Medical Items,Medical Consumables,Box,26,6,15,2,20,8,0,2,0,0,0,1,6.666666667,80,32,8,11,11,20,9,8,0,0,0,0,0,8.25,99,29,9,16,7,17,10,4,0,0,0,0,0,7.666666667,92
"Syringe - 20 ml - Without Lock, (Dialysis Use Only) (80/Box) 79",Medical Items,Medical Consumables,Box,10,1,0,12,15,10,3,0,0,0,0,0,4.25,51,13,4,6,13,10,10,0,0,0,0,0,0,4.666666667,56,11,6,3,11,11,12,4,0,0,0,0,0,4.833333333,58
"Syringe - 3 ml - With Lock, Luer Lock, With Needle (100/Box) 79",Medical Items,Medical Consumables,Box,38,24,55,23,38,34,29,0,2,0,0,0,20.25,243,44,24,59,23,32,29,31,0,2,1,0,0,20.41666667,245,41,21,57,28,37,31,28,0,0,0,0,0,20.25,243
"Syringe - 5 ml - With Lock, Luer Lock, With Needle (100/Box) 79",Medical Items,Medical Consumables,Box,66,32,37,38,34,30,18,0,0,0,2,0,21.41666667,257,70,27,29,39,35,30,19,2,0,0,4,3,21.5,258,70,32,34,39,36,27,16,0,0,0,0,0,21.16666667,254
Syringe - 50 ml - Toomy Syringe 79,Medical Items,Medical Consumables,Box,0,2,2,0,9,0,1,4,2,0,4,3,2.25,27,0,0,0,0,2,6,0,2,0,1,0,0,0.916666667,11,1,2,0,0,6,2,2,0,0,0,0,0,1.083333333,13
"Syringe - 50 ml - With Lock, Luer Lock, With Needle (100/Box) 79",Medical Items,Medical Consumables,Box,3,0,4,0,4,1,0,0,0,1,0,0,1.083333333,13,0,4,9,0,0,0,0,0,1,1,0,3,1.5,18,2,0,7,1,3,0,0,0,0,0,0,0,1.083333333,13
Syringe - Abg Syringe (100/Box) 79,Medical Items,Medical Consumables,Numbers,103,4,1,0,0,2,0,1,0,4,0,0,9.583333333,115,98,1,0,0,0,4,0,1,0,0,0,0,8.666666667,104,100,0,0,0,0,0,0,0,0,0,0,0,8.333333333,100
Syringe - Insulin - 1ml - 100iu (100/Box) 79,Medical Items,Medical Consumables,Box,0,3,3,3,0,0,3,0,0,0,0,0,1,12,0,0,0,2,0,4,0,0,4,0,0,0,0.833333333,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Syringe - Insulin - 1ml - 40iu (100/Box) 79,Medical Items,Medical Consumables,Box,0,0,0,2,5,1,0,1,3,0,0,4,1.333333333,16,0,2,1,2,5,0,0,0,3,2,0,0,1.25,15,0,0,0,2,1,1,0,0,0,0,0,0,0.333333333,4
Syringe - Medrad Salient Vistron Plus 190ml Syringe With Qft 79,Medical Items,Radiology,Numbers,23,0,2,2,0,0,8,2,0,4,4,0,3.75,45,25,1,1,0,2,0,7,3,0,0,0,0,3.25,39,25,0,0,0,0,0,5,0,0,0,0,0,2.5,30
Syrup Cetrizine 79,Medical Items,Pharmaceuticals,Bottle,2,2,0,0,0,4,3,3,1,0,4,3,1.833333333,22,1,0,1,0,0,1,0,0,2,0,0,1,0.5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Syrup Nutrolin B 79,Medical Items,Pharmaceuticals,Bottle,4,0,0,2,0,4,0,3,3,0,0,1,1.416666667,17,4,0,4,0,0,0,0,0,0,3,0,0,0.916666667,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Syrup Relcer 79,Medical Items,Pharmaceuticals,Bottle,1,0,0,4,0,0,0,0,3,3,0,1,1,12,1,0,0,0,1,0,1,0,0,2,4,3,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
System Cleaning Solution 79,Medical Items,Laboratory Consumables,Bottle,2,0,0,1,0,0,2,3,2,3,0,2,1.25,15,1,3,0,0,1,0,0,0,0,0,1,0,0.5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tablet Buscopan 79,Medical Items,Pharmaceuticals,Tab,1,0,0,0,0,0,0,3,0,0,0,2,0.5,6,0,0,4,0,1,0,2,0,0,1,0,2,0.833333333,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tablet Levoflox 79,Medical Items,Pharmaceuticals,Tab,0,0,0,0,0,0,3,3,3,0,0,1,0.833333333,10,0,0,3,0,0,0,0,0,4,1,1,0,0.75,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tablet Mefenamic Acid 500mg 79,Medical Items,Pharmaceuticals,Tab,4,4,0,3,0,0,3,1,4,0,0,0,1.583333333,19,1,4,1,1,0,0,0,2,0,0,0,0,0.75,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tablet Montelukast 79,Medical Items,Pharmaceuticals,Tablet,2,0,3,1,3,1,3,2,0,0,1,2,1.5,18,2,0,0,0,4,1,0,0,0,0,3,3,1.083333333,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tablet Mucinac 79,Medical Items,Pharmaceuticals,Tablet,2,0,1,2,0,3,0,0,3,1,0,0,1,12,0,4,4,2,0,0,0,4,3,2,0,4,1.916666667,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tablet Panadeine 79,Medical Items,Pharmaceuticals,Tab,4,0,0,0,0,0,3,0,4,0,0,3,1.166666667,14,0,0,4,3,1,2,0,0,0,0,0,3,1.083333333,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tablet Prednesalone 79,Medical Items,Pharmaceuticals,Tab,0,0,0,1,0,1,0,2,0,4,0,0,0.666666667,8,0,0,4,2,0,4,2,0,0,0,4,0,1.333333333,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tablet Sita 79,Medical Items,Pharmaceuticals,Tab,0,1,0,0,0,3,0,0,0,0,4,1,0.75,9,0,0,1,0,0,2,0,2,0,0,3,0,0.666666667,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tablet Telmisartan 79,Medical Items,Pharmaceuticals,Tab,0,0,3,1,1,3,0,0,2,1,0,2,1.083333333,13,0,1,0,2,0,0,0,0,0,0,0,0,0.25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
